Category,Sub-Category,Profit per Order,Quantity,Sales,Sales per Customer
Furniture,Chairs,8.1,5,364,364.41
Furniture,Chairs,54.67,6,328,328
Furniture,Chairs,292.78,6,1317,1317.49
Furniture,Chairs,93.22,6,599,599.29
Furniture,Chairs,65.21,7,367,366.79
Furniture,Chairs,63.69,7,573,573.17
Furniture,Chairs,313.26,8,2563,2563.06
Furniture,Chairs,139.57,9,1142,1141.94
Furniture,Chairs,80.78,14,428,427.64
Furniture,Bookcases,-22.1,1,177,176.78
Furniture,Bookcases,30.1,1,241,240.78
Furniture,Furnishings,1.76,1,20,20.1
Furniture,Furnishings,0.65,1,4,3.98
Furniture,Bookcases,-44.2,2,354,353.57
Furniture,Bookcases,56.2,2,450,449.57
Furniture,Bookcases,-44.2,2,354,353.57
Furniture,Bookcases,-16.08,2,322,321.57
Furniture,Furnishings,-9.09,2,66,66.11
Furniture,Furnishings,0,2,83,82.64
Furniture,Furnishings,9.57,2,64,63.82
Furniture,Furnishings,1.57,2,5,4.66
Furniture,Furnishings,3.35,2,12,11.65
Furniture,Furnishings,4.33,2,43,43.3
Furniture,Furnishings,0.99,2,7,7.17
Furniture,Furnishings,1.2,2,32,31.98
Furniture,Furnishings,-34.2,2,274,273.57
Furniture,Bookcases,9.09,3,242,242.35
Furniture,Bookcases,-15.72,3,314,314.35
Furniture,Furnishings,15.59,3,78,77.95
Furniture,Furnishings,34.97,3,466,466.32
Furniture,Furnishings,-21.47,3,191,190.85
Furniture,Furnishings,5.28,3,60,60.31
Furniture,Furnishings,6.42,3,37,36.67
Furniture,Bookcases,12.12,4,323,323.14
Furniture,Furnishings,8.56,4,49,48.9
Furniture,Furnishings,7.64,4,25,25.47
Furniture,Bookcases,-26.2,5,524,523.92
Furniture,Bookcases,-25.05,5,2004,2003.92
Furniture,Furnishings,9.78,5,71,71.12
Furniture,Furnishings,6.29,5,22,21.88
Furniture,Furnishings,148.84,5,397,396.92
Furniture,Furnishings,28.13,5,78,77.6
Furniture,Bookcases,158.58,6,4229,4228.7
Furniture,Furnishings,9.67,7,35,35.17
Furniture,Furnishings,11.65,9,58,58.25
Furniture,Bookcases,-50.1,10,4008,4007.84
Furniture,Bookcases,42.59,12,681,681.41
Furniture,Chairs,-9.1,1,64,63.69
Furniture,Chairs,-2.06,2,48,47.99
Furniture,Chairs,-13.32,2,155,155.37
Furniture,Chairs,-1.22,2,85,85.25
Furniture,Chairs,-12.84,2,449,449.37
Furniture,Chairs,-19.34,2,71,71.25
Furniture,Chairs,-28.5,2,399,398.97
Furniture,Chairs,-30.93,2,127,127.37
Furniture,Tables,-23.94,2,239,239.37
Furniture,Tables,-38.85,2,194,194.25
Furniture,Tables,-19.92,2,174,174.29
Furniture,Tables,-31.37,2,244,244.01
Furniture,Chairs,-9.11,3,128,127.55
Furniture,Chairs,-4.86,3,170,170.06
Furniture,Chairs,-63.38,3,887,887.27
Furniture,Tables,-130.01,3,700,700.06
Furniture,Chairs,-14.2,4,199,198.74
Furniture,Chairs,-58.5,4,216,215.54
Furniture,Chairs,0,5,854,853.93
Furniture,Chairs,0,5,1228,1228.46
Furniture,Chairs,-14.08,5,493,492.83
Furniture,Chairs,-93.99,5,658,657.93
Furniture,Chairs,-36.18,6,844,844.12
Furniture,Chairs,-21.07,7,1475,1474.8
Furniture,Chairs,0,9,1537,1537.07
Furniture,Tables,-115.71,1,331,330.59
Furniture,Tables,-52.34,1,137,136.53
Furniture,Tables,-15.48,1,52,51.59
Furniture,Tables,-94.66,1,172,172.11
Furniture,Tables,-104.67,2,273,273.06
Furniture,Tables,-373.3,4,1018,1018.1
Furniture,Tables,-140.14,4,350,350.35
Furniture,Tables,-227.49,6,853,853.09
Furniture,Tables,-264.92,8,837,836.59
Furniture,Tables,-480.2,8,1253,1252.7
Furniture,Bookcases,-89.07,2,131,130.98
Furniture,Bookcases,-205,3,301,301.47
Furniture,Bookcases,-167.99,5,300,299.97
Furniture,Chairs,84.24,1,351,350.98
Furniture,Furnishings,15.52,1,52,51.75
Furniture,Furnishings,5.52,1,24,23.99
Furniture,Tables,22.35,1,86,85.98
Furniture,Chairs,18.33,2,68,67.88
Furniture,Furnishings,10.79,2,29,29.16
Furniture,Tables,200.49,2,802,801.96
Furniture,Tables,45.29,2,302,301.96
Furniture,Bookcases,69.68,3,303,302.94
Furniture,Chairs,224.27,3,1068,1067.94
Furniture,Chairs,77.74,3,288,287.94
Furniture,Chairs,79.91,3,333,332.94
Furniture,Furnishings,41.04,3,187,186.54
Furniture,Furnishings,12.99,3,130,129.93
Furniture,Furnishings,9.26,3,26,25.71
Furniture,Furnishings,16.61,3,43,42.6
Furniture,Furnishings,19.47,3,61,60.84
Furniture,Tables,314.06,3,1653,1652.94
Furniture,Chairs,225.26,4,866,866.4
Furniture,Chairs,60.55,4,233,232.88
Furniture,Chairs,422.51,4,1690,1690.04
Furniture,Furnishings,11.58,4,39,38.6
Furniture,Furnishings,24.46,4,63,62.72
Furniture,Furnishings,34.99,4,318,318.08
Furniture,Tables,75.66,4,344,343.92
Furniture,Bookcases,126.23,5,505,504.9
Furniture,Chairs,80.78,5,505,504.9
Furniture,Furnishings,137.54,5,344,343.85
Furniture,Furnishings,52.69,5,142,142.4
Furniture,Furnishings,9.16,5,24,24.1
Furniture,Furnishings,3.87,5,9,8.8
Furniture,Tables,60.66,5,357,356.85
Furniture,Chairs,155.25,6,518,517.5
Furniture,Furnishings,9.1,6,22,22.2
Furniture,Furnishings,213.69,6,822,821.88
Furniture,Furnishings,76.09,6,186,185.58
Furniture,Furnishings,58.69,6,133,133.38
Furniture,Furnishings,25.54,6,82,82.38
Furniture,Tables,75.37,6,1256,1256.22
Furniture,Chairs,306.49,7,1057,1056.86
Furniture,Furnishings,12.91,7,33,33.11
Furniture,Tables,388.81,8,2430,2430.08
Furniture,Bookcases,172.48,9,639,638.82
Furniture,Bookcases,374.63,9,1629,1628.82
Furniture,Chairs,10.26,1,103,102.59
Furniture,Furnishings,4.04,1,15,15.38
Furniture,Furnishings,0,1,32,31.98
Furniture,Bookcases,0,2,242,241.57
Furniture,Bookcases,-3.89,2,78,77.73
Furniture,Chairs,6.07,2,97,97.18
Furniture,Chairs,-22.14,2,197,196.78
Furniture,Chairs,48.8,2,390,390.37
Furniture,Chairs,-23.58,2,210,209.57
Furniture,Chairs,47.66,2,424,423.65
Furniture,Furnishings,1.07,2,17,17.09
Furniture,Furnishings,10.1,2,67,67.36
Furniture,Furnishings,2.17,2,8,7.9
Furniture,Bookcases,-36.29,3,290,290.35
Furniture,Chairs,15.15,3,242,242.35
Furniture,Chairs,52.38,3,698,698.35
Furniture,Chairs,74.57,3,663,662.88
Furniture,Chairs,-10.92,3,218,218.38
Furniture,Furnishings,-3.84,3,102,102.36
Furniture,Furnishings,14.31,3,55,54.53
Furniture,Furnishings,12.67,3,78,77.95
Furniture,Furnishings,-51.29,3,410,410.35
Furniture,Furnishings,12.11,3,46,46.15
Furniture,Furnishings,4.24,3,14,14.14
Furniture,Furnishings,6.59,3,33,32.95
Furniture,Furnishings,14.55,3,45,44.76
Furniture,Bookcases,-67.67,4,451,451.14
Furniture,Chairs,13.97,4,186,186.3
Furniture,Chairs,-68.11,4,419,419.14
Furniture,Furnishings,16.85,4,337,337.09
Furniture,Furnishings,55.02,4,220,220.06
Furniture,Furnishings,0,4,339,339.14
Furniture,Furnishings,20.39,4,163,163.14
Furniture,Furnishings,19.08,4,73,72.7
Furniture,Bookcases,-81.44,5,724,723.92
Furniture,Bookcases,5.8,5,232,231.92
Furniture,Chairs,0,5,2804,2803.92
Furniture,Chairs,0,5,364,363.92
Furniture,Furnishings,19.03,5,102,101.52
Furniture,Furnishings,3.34,5,17,16.72
Furniture,Furnishings,4.28,8,14,14.27
Furniture,Chairs,11.69,9,187,187.06
Furniture,Tables,-299.26,6,945,945.04
Furniture,Tables,-653.28,7,1782,1781.68
Furniture,Tables,-76.61,1,192,191.52
Furniture,Tables,-458.15,4,933,933.26
Furniture,Tables,-114.35,7,331,331.02
Furniture,Furnishings,4.33,1,43,43.31
Furniture,Furnishings,2.97,1,9,8.73
Furniture,Furnishings,7.11,1,19,18.7
Furniture,Furnishings,15.52,1,52,51.75
Furniture,Furnishings,7.89,1,20,20.24
Furniture,Furnishings,14.66,1,43,43.13
Furniture,Furnishings,21.51,1,108,107.53
Furniture,Bookcases,41.17,2,142,141.96
Furniture,Bookcases,25.51,2,116,115.96
Furniture,Bookcases,41.17,2,142,141.96
Furniture,Furnishings,4.28,2,15,14.76
Furniture,Furnishings,4.02,2,13,12.56
Furniture,Furnishings,53.2,2,205,204.6
Furniture,Furnishings,29.33,2,86,86.26
Furniture,Furnishings,1.75,2,4,4.16
Furniture,Furnishings,10.91,2,42,41.96
Furniture,Furnishings,1.11,2,3,3.48
Furniture,Furnishings,13.43,2,35,35.34
Furniture,Furnishings,11.17,2,40,39.88
Furniture,Furnishings,10.91,2,42,41.96
Furniture,Furnishings,4.35,2,17,16.74
Furniture,Furnishings,99.23,2,198,198.46
Furniture,Furnishings,17.18,2,40,39.96
Furniture,Furnishings,54.34,3,129,129.39
Furniture,Furnishings,43.68,3,312,312.03
Furniture,Furnishings,6.53,3,25,25.11
Furniture,Furnishings,6.03,3,19,18.84
Furniture,Furnishings,4.47,3,12,12.42
Furniture,Furnishings,23.99,3,120,119.94
Furniture,Furnishings,21.75,3,128,127.95
Furniture,Furnishings,5.19,3,17,17.31
Furniture,Furnishings,15.37,3,37,36.6
Furniture,Furnishings,6.42,3,22,22.14
Furniture,Furnishings,8.01,3,32,32.04
Furniture,Furnishings,16.3,3,37,37.05
Furniture,Furnishings,31.61,3,85,85.44
Furniture,Furnishings,28.52,3,58,58.2
Furniture,Furnishings,49.8,3,277,276.69
Furniture,Furnishings,7.91,3,19,18.84
Furniture,Furnishings,17.38,3,41,41.37
Furniture,Furnishings,2.62,3,6,6.24
Furniture,Furnishings,3.24,3,10,10.11
Furniture,Furnishings,14.14,4,42,41.6
Furniture,Furnishings,8.3,4,20,19.76
Furniture,Furnishings,38.02,4,78,77.6
Furniture,Furnishings,15.99,4,47,47.04
Furniture,Furnishings,27.56,4,60,59.92
Furniture,Furnishings,11.18,4,40,39.92
Furniture,Furnishings,29.15,4,81,80.96
Furniture,Furnishings,21.13,4,50,50.32
Furniture,Furnishings,10.16,4,31,30.8
Furniture,Furnishings,10.37,5,25,24.7
Furniture,Furnishings,14.9,5,53,53.2
Furniture,Furnishings,57.36,5,205,204.85
Furniture,Furnishings,62.74,5,146,145.9
Furniture,Furnishings,105.98,5,530,529.9
Furniture,Furnishings,73.32,5,216,215.65
Furniture,Tables,118.66,5,913,912.75
Furniture,Furnishings,9.03,6,25,25.08
Furniture,Furnishings,297.69,6,595,595.38
Furniture,Furnishings,122.76,6,384,383.64
Furniture,Furnishings,33.94,6,97,96.96
Furniture,Bookcases,140.69,7,1407,1406.86
Furniture,Furnishings,21.6,7,60,59.99
Furniture,Furnishings,23.92,7,75,74.76
Furniture,Furnishings,81.85,7,227,227.36
Furniture,Furnishings,28.14,7,104,104.23
Furniture,Furnishings,95.76,7,435,435.26
Furniture,Furnishings,18.46,7,44,43.96
Furniture,Furnishings,39.08,7,140,139.58
Furniture,Furnishings,202.25,8,843,842.72
Furniture,Furnishings,20.73,8,47,47.12
Furniture,Furnishings,54.28,8,201,201.04
Furniture,Furnishings,92.97,9,465,464.85
Furniture,Furnishings,36.18,9,134,134.01
Furniture,Furnishings,199.26,11,474,474.43
Furniture,Bookcases,-6.05,1,103,102.83
Furniture,Bookcases,18.45,2,121,120.67
Furniture,Bookcases,28.96,2,308,307.67
Furniture,Bookcases,-12.1,2,206,205.67
Furniture,Bookcases,-14.48,2,308,307.67
Furniture,Bookcases,-12.1,2,206,205.67
Furniture,Bookcases,24.24,3,257,257.5
Furniture,Bookcases,-30.15,3,512,512.5
Furniture,Bookcases,3.93,3,334,334
Furniture,Bookcases,-29.61,3,359,359.5
Furniture,Bookcases,-29.61,3,359,359.5
Furniture,Bookcases,-40.2,4,683,683.33
Furniture,Bookcases,6.55,5,557,556.66
Furniture,Bookcases,160.31,8,3407,3406.66
Furniture,Chairs,32.1,1,257,256.78
Furniture,Chairs,25.9,1,207,207.18
Furniture,Chairs,24.86,1,221,220.96
Furniture,Furnishings,4.84,1,23,22.78
Furniture,Tables,-0.89,1,36,35.54
Furniture,Chairs,10.1,2,162,161.57
Furniture,Chairs,34.89,2,349,348.93
Furniture,Chairs,22.53,2,225,225.3
Furniture,Chairs,-28.27,2,162,161.57
Furniture,Chairs,22.53,2,225,225.3
Furniture,Chairs,2.82,2,226,225.57
Furniture,Chairs,4.26,2,43,42.62
Furniture,Furnishings,3.95,2,14,14.37
Furniture,Furnishings,1.74,2,8,7.71
Furniture,Furnishings,3.95,2,14,14.37
Furniture,Furnishings,0.96,2,4,4.27
Furniture,Tables,-2.96,2,237,236.53
Furniture,Chairs,-42.9,3,312,311.98
Furniture,Chairs,-13.74,3,122,122.14
Furniture,Chairs,-20.78,3,185,184.75
Furniture,Chairs,35.76,3,572,572.16
Furniture,Chairs,13.76,3,122,122.35
Furniture,Chairs,0,3,451,451.15
Furniture,Chairs,23.03,3,230,230.28
Furniture,Chairs,0,3,218,218.35
Furniture,Chairs,74.57,3,663,662.88
Furniture,Chairs,-109.58,3,674,674.35
Furniture,Chairs,20.16,3,230,230.35
Furniture,Chairs,73.19,3,586,585.55
Furniture,Furnishings,1.27,3,4,4.22
Furniture,Furnishings,7.11,3,23,22.75
Furniture,Tables,5.23,3,418,418.3
Furniture,Tables,31.45,3,629,629.06
Furniture,Tables,27.36,3,365,364.78
Furniture,Tables,33.85,3,903,902.71
Furniture,Tables,6.72,3,269,268.7
Furniture,Tables,-97.74,3,711,710.83
Furniture,Tables,-16.65,3,333,333
Furniture,Tables,-23.49,3,626,626.35
Furniture,Tables,-31.65,3,253,253.18
Furniture,Chairs,60.39,4,483,483.14
Furniture,Chairs,54.4,4,725,725.34
Furniture,Chairs,-44.28,4,394,393.57
Furniture,Chairs,99.43,4,884,883.84
Furniture,Chairs,-14.56,4,291,291.17
Furniture,Chairs,13.85,4,123,123.14
Furniture,Furnishings,11.07,4,40,40.26
Furniture,Furnishings,-3.03,4,121,121.38
Furniture,Furnishings,3.11,4,12,11.84
Furniture,Tables,36.48,4,486,486.37
Furniture,Tables,-64.54,4,574,573.73
Furniture,Tables,6.97,4,558,557.73
Furniture,Chairs,-34.64,5,308,307.92
Furniture,Chairs,7.05,5,564,563.92
Furniture,Chairs,22.94,5,204,203.92
Furniture,Chairs,-46.14,5,284,283.92
Furniture,Chairs,45.29,5,604,603.92
Furniture,Chairs,148.7,5,1487,1487.04
Furniture,Chairs,121.99,5,976,975.92
Furniture,Furnishings,10.98,5,55,54.92
Furniture,Furnishings,4.01,5,13,13.36
Furniture,Chairs,149.15,6,1326,1325.76
Furniture,Chairs,-84.82,6,485,484.7
Furniture,Chairs,150.29,6,2405,2404.7
Furniture,Chairs,-39.95,6,533,532.7
Furniture,Furnishings,-36.47,6,365,364.7
Furniture,Furnishings,48.95,6,206,206.11
Furniture,Tables,-325.57,6,2004,2003.52
Furniture,Furnishings,33.16,8,121,120.58
Furniture,Furnishings,15.07,9,52,52.42
Furniture,Tables,-204.45,3,393,393.17
Furniture,Tables,-188.7,4,278,277.5
Furniture,Tables,-448.9,5,802,801.6
Furniture,Tables,-248.17,5,365,364.95
Furniture,Bookcases,-103.86,1,66,66.29
Furniture,Bookcases,-240.78,2,181,180.59
Furniture,Bookcases,-143.79,4,70,69.58
Furniture,Bookcases,-384.72,6,218,217.76
Furniture,Bookcases,-786.74,7,590,590.06
Furniture,Bookcases,-183.63,7,102,102.02
Office Supplies,Fasteners,1.8,1,6,5.81
Office Supplies,Labels,1.73,1,4,3.69
Office Supplies,Art,1.73,2,6,5.76
Office Supplies,Binders,10.35,2,23,23
Office Supplies,Binders,843.17,2,1794,1793.98
Office Supplies,Envelopes,149.9,2,326,325.86
Office Supplies,Paper,4.29,2,10,9.54
Office Supplies,Paper,5.66,2,12,11.56
Office Supplies,Paper,5.76,2,12,11.76
Office Supplies,Supplies,0.17,2,4,4.36
Office Supplies,Binders,496.79,3,1104,1103.97
Office Supplies,Storage,9.72,3,162,161.94
Office Supplies,Storage,0,3,502,501.81
Office Supplies,Art,12.59,4,47,46.64
Office Supplies,Binders,13.06,4,28,28.4
Office Supplies,Paper,91.95,4,196,195.64
Office Supplies,Appliances,20.98,10,84,83.9
Office Supplies,Art,0.37,1,6,5.95
Office Supplies,Paper,1.88,1,5,5.18
Office Supplies,Storage,0.81,1,11,10.78
Office Supplies,Art,0.56,2,9,8.93
Office Supplies,Art,4.5,2,45,45.04
Office Supplies,Art,2.84,2,38,37.84
Office Supplies,Labels,1.67,2,5,4.61
Office Supplies,Paper,26.9,2,77,76.86
Office Supplies,Paper,26.9,2,77,76.86
Office Supplies,Paper,3.63,2,10,10.37
Office Supplies,Storage,-2.97,2,48,47.58
Office Supplies,Storage,-25.11,2,118,118.16
Office Supplies,Storage,19.82,2,264,264.32
Office Supplies,Storage,1.82,2,18,18.16
Office Supplies,Art,2.21,3,7,7.06
Office Supplies,Fasteners,2.47,3,8,7.9
Office Supplies,Paper,3.71,3,11,11.42
Office Supplies,Paper,20.58,3,63,63.31
Office Supplies,Paper,16.18,3,48,47.95
Office Supplies,Paper,16.18,3,48,47.95
Office Supplies,Storage,9.95,3,133,132.7
Office Supplies,Art,1.64,4,5,5.25
Office Supplies,Labels,5.18,4,16,15.94
Office Supplies,Paper,5.52,4,15,15.23
Office Supplies,Art,5.77,5,46,46.2
Office Supplies,Art,3.91,5,13,13.04
Office Supplies,Labels,4.18,5,12,11.52
Office Supplies,Labels,3.39,5,10,10.44
Office Supplies,Storage,-66.8,5,382,381.72
Office Supplies,Fasteners,1.85,6,5,5.47
Office Supplies,Paper,67.44,6,186,186.05
Office Supplies,Paper,10.89,6,31,31.1
Office Supplies,Art,16.37,7,146,145.54
Office Supplies,Paper,54.21,7,173,173.49
Office Supplies,Paper,12.7,7,36,36.29
Office Supplies,Paper,9.54,8,31,30.53
Office Supplies,Paper,30.39,8,84,83.84
Office Supplies,Appliances,-6.34,1,2,2.39
Office Supplies,Binders,-4.77,1,3,2.89
Office Supplies,Binders,-6.63,1,4,4.28
Office Supplies,Binders,-3.41,1,2,2.07
Office Supplies,Binders,-8.47,1,5,4.98
Office Supplies,Binders,-11.08,1,7,6.93
Office Supplies,Appliances,-3.76,2,1,1.39
Office Supplies,Appliances,-54.55,2,21,21.39
Office Supplies,Binders,-22.62,2,15,15.08
Office Supplies,Binders,-3.24,2,2,1.96
Office Supplies,Binders,-1.48,2,1,0.98
Office Supplies,Binders,-26.23,2,16,16.39
Office Supplies,Binders,-4.92,3,3,2.89
Office Supplies,Binders,-6.02,3,4,3.65
Office Supplies,Binders,-145.18,4,97,96.78
Office Supplies,Binders,-13.62,4,9,8.78
Office Supplies,Binders,-52.45,4,33,32.78
Office Supplies,Binders,-16.54,4,10,10.02
Office Supplies,Binders,-32.09,4,18,18.34
Office Supplies,Binders,-6.57,5,4,3.98
Office Supplies,Binders,-30.56,6,17,17.46
Office Supplies,Binders,-2287.78,6,1525,1525.19
Office Supplies,Binders,-53.71,8,34,33.57
Office Supplies,Binders,-52.63,8,31,30.96
Office Supplies,Binders,-21.68,9,13,13.14
Office Supplies,Appliances,8.05,1,31,30.98
Office Supplies,Appliances,8.95,1,20,19.9
Office Supplies,Binders,148.51,1,316,315.98
Office Supplies,Paper,2.15,1,5,4.77
Office Supplies,Paper,3.11,1,6,6.48
Office Supplies,Storage,3.36,1,11,11.21
Office Supplies,Appliances,120.94,2,465,465.16
Office Supplies,Appliances,44.89,2,160,160.32
Office Supplies,Art,4.94,2,13,13.36
Office Supplies,Binders,15.44,2,31,30.88
Office Supplies,Binders,11.78,2,25,25.06
Office Supplies,Labels,2.82,2,6,5.76
Office Supplies,Labels,6.87,2,15,14.62
Office Supplies,Paper,4.68,2,10,9.96
Office Supplies,Paper,11.54,2,25,24.56
Office Supplies,Paper,5.66,2,12,11.56
Office Supplies,Paper,6.22,2,13,12.96
Office Supplies,Paper,18.78,2,40,39.96
Office Supplies,Storage,11.63,2,194,193.86
Office Supplies,Storage,2.94,2,42,41.96
Office Supplies,Storage,5.87,2,23,22.58
Office Supplies,Storage,17.38,2,70,69.52
Office Supplies,Appliances,49.56,3,171,170.88
Office Supplies,Appliances,26.86,3,60,59.7
Office Supplies,Appliances,90.83,3,206,206.43
Office Supplies,Art,2.85,3,10,9.84
Office Supplies,Art,2.07,3,8,7.98
Office Supplies,Art,9.7,3,35,34.65
Office Supplies,Art,8.07,3,21,21.24
Office Supplies,Binders,30.21,3,63,62.94
Office Supplies,Binders,15.52,3,35,34.5
Office Supplies,Fasteners,5.01,3,11,10.65
Office Supplies,Fasteners,2.95,3,6,6.03
Office Supplies,Labels,4.54,3,9,9.45
Office Supplies,Paper,8.79,3,18,17.94
Office Supplies,Paper,17.22,3,34,34.44
Office Supplies,Paper,7.02,3,15,14.94
Office Supplies,Paper,68.98,3,144,143.7
Office Supplies,Paper,9.04,3,20,19.65
Office Supplies,Storage,10.51,3,40,40.44
Office Supplies,Storage,3.66,3,183,182.94
Office Supplies,Storage,5.84,3,117,116.82
Office Supplies,Appliances,22.12,4,82,81.92
Office Supplies,Binders,23.31,4,52,51.8
Office Supplies,Fasteners,0.3,4,15,14.96
Office Supplies,Labels,29.6,4,59,59.2
Office Supplies,Paper,12.48,4,27,27.12
Office Supplies,Paper,11.33,4,23,23.12
Office Supplies,Paper,12.44,4,26,25.92
Office Supplies,Paper,19.87,4,41,40.56
Office Supplies,Paper,12.44,4,26,25.92
Office Supplies,Appliances,253.37,5,905,904.9
Office Supplies,Art,6.21,5,21,21.4
Office Supplies,Art,16.17,5,58,57.75
Office Supplies,Binders,38.38,5,80,79.95
Office Supplies,Paper,19.95,5,40,39.9
Office Supplies,Paper,45.53,5,95,94.85
Office Supplies,Paper,100.43,5,205,204.95
Office Supplies,Paper,7.77,5,17,16.9
Office Supplies,Supplies,15.37,5,55,54.9
Office Supplies,Binders,16.96,6,38,37.68
Office Supplies,Labels,35.33,6,75,75.18
Office Supplies,Appliances,26.35,7,91,90.86
Office Supplies,Storage,22.25,7,79,79.45
Office Supplies,Supplies,18.9,7,65,65.17
Office Supplies,Appliances,3.87,1,34,34.38
Office Supplies,Art,0.37,1,3,2.67
Office Supplies,Binders,0.6,1,2,1.73
Office Supplies,Appliances,0.44,2,4,3.55
Office Supplies,Art,0.48,2,5,4.77
Office Supplies,Binders,89.95,2,277,276.78
Office Supplies,Binders,2.34,2,7,6.69
Office Supplies,Binders,456.59,2,1218,1217.57
Office Supplies,Binders,5.48,2,15,14.62
Office Supplies,Binders,89.95,2,277,276.78
Office Supplies,Labels,2.1,2,6,6
Office Supplies,Paper,10.62,2,30,30.35
Office Supplies,Paper,29.36,2,78,78.3
Office Supplies,Paper,2.89,2,8,7.97
Office Supplies,Paper,3.63,2,10,10.37
Office Supplies,Paper,2.64,2,8,8.45
Office Supplies,Storage,-55.26,2,221,221.02
Office Supplies,Storage,1.93,2,26,25.7
Office Supplies,Appliances,0.71,3,9,9.48
Office Supplies,Appliances,43.44,3,434,434.35
Office Supplies,Art,21.34,3,90,89.86
Office Supplies,Art,2.55,3,15,14.59
Office Supplies,Binders,1143.89,3,3050,3050.38
Office Supplies,Labels,2.51,3,7,6.91
Office Supplies,Paper,5.1,3,16,15.7
Office Supplies,Paper,5.03,3,14,13.87
Office Supplies,Paper,5.44,3,16,15.55
Office Supplies,Paper,5.44,3,16,15.55
Office Supplies,Storage,2.34,3,37,37.39
Office Supplies,Storage,1,3,13,13.39
Office Supplies,Storage,15.86,3,423,422.86
Office Supplies,Appliances,13.7,4,122,121.79
Office Supplies,Appliances,7.77,4,89,88.83
Office Supplies,Art,3.4,4,19,19.46
Office Supplies,Art,3.64,4,13,13.25
Office Supplies,Binders,6.03,4,17,17.22
Office Supplies,Storage,-35.22,4,157,156.51
Office Supplies,Storage,3.93,4,39,39.3
Office Supplies,Supplies,2.04,4,27,27.2
Office Supplies,Art,0.83,5,11,11.12
Office Supplies,Binders,9.18,5,25,25.32
Office Supplies,Binders,7.21,5,21,21.36
Office Supplies,Labels,5.37,5,17,16.52
Office Supplies,Storage,6.29,5,56,55.92
Office Supplies,Storage,-44.02,5,196,195.64
Office Supplies,Supplies,6.25,5,56,55.6
Office Supplies,Binders,55.01,6,147,146.69
Office Supplies,Labels,5.98,6,18,17.71
Office Supplies,Labels,7.77,6,24,23.9
Office Supplies,Paper,10.06,6,28,27.74
Office Supplies,Paper,37.92,6,108,108.34
Office Supplies,Paper,10.89,6,31,31.1
Office Supplies,Appliances,312.68,8,1924,1924.16
Office Supplies,Labels,7.97,8,24,23.62
Office Supplies,Binders,-1.31,1,2,1.64
Office Supplies,Binders,-2.51,1,3,3.27
Office Supplies,Binders,-1.93,2,3,2.63
Office Supplies,Binders,-2.66,2,4,3.8
Office Supplies,Binders,-5.21,2,6,6.26
Office Supplies,Binders,-2.59,2,4,3.88
Office Supplies,Binders,-2.76,2,3,3.44
Office Supplies,Binders,-412.62,2,538,538.19
Office Supplies,Binders,-10.58,3,14,14.43
Office Supplies,Binders,-5.53,3,7,7.22
Office Supplies,Binders,-3.56,3,5,4.86
Office Supplies,Binders,-2,3,3,2.5
Office Supplies,Binders,-5.04,3,7,6.57
Office Supplies,Binders,-4.75,4,6,6.48
Office Supplies,Binders,-12.21,4,18,18.31
Office Supplies,Binders,-913.18,6,1370,1369.76
Office Supplies,Binders,1.87,1,4,3.89
Office Supplies,Binders,4.57,1,9,9.14
Office Supplies,Labels,96.34,2,197,196.62
Office Supplies,Paper,6.22,2,13,12.96
Office Supplies,Appliances,53.04,3,183,182.91
Office Supplies,Art,10.39,3,35,34.65
Office Supplies,Binders,5.6,3,12,11.67
Office Supplies,Binders,30.79,3,64,64.14
Office Supplies,Binders,6.74,3,14,14.04
Office Supplies,Labels,5.2,3,11,11.07
Office Supplies,Paper,28.17,3,60,59.94
Office Supplies,Paper,36.4,3,79,79.14
Office Supplies,Storage,10.07,3,40,40.29
Office Supplies,Appliances,55.36,4,198,197.72
Office Supplies,Appliances,56.35,4,194,194.32
Office Supplies,Binders,318.3,4,692,691.96
Office Supplies,Binders,7.48,4,16,15.92
Office Supplies,Binders,10.71,4,22,22.32
Office Supplies,Fasteners,14.2,4,32,31.56
Office Supplies,Paper,12.44,4,26,25.92
Office Supplies,Storage,0.56,4,28,27.92
Office Supplies,Art,45.49,5,175,174.95
Office Supplies,Art,21.23,5,73,73.2
Office Supplies,Storage,214.76,5,826,826
Office Supplies,Supplies,9.23,5,34,34.2
Office Supplies,Art,18.04,6,55,54.66
Office Supplies,Storage,175.52,6,1350,1350.12
Office Supplies,Binders,17.81,7,39,38.71
Office Supplies,Labels,51.8,7,104,103.6
Office Supplies,Storage,104.57,8,349,348.56
Office Supplies,Envelopes,7.34,1,22,21.74
Office Supplies,Labels,1.29,1,4,3.98
Office Supplies,Storage,0.33,1,4,4.46
Office Supplies,Storage,-8.8,1,39,39.13
Office Supplies,Supplies,0.35,1,3,3.1
Office Supplies,Art,6.01,2,18,18.48
Office Supplies,Labels,1.5,2,5,4.61
Office Supplies,Appliances,9.84,3,98,98.35
Office Supplies,Appliances,3.06,3,35,34.94
Office Supplies,Art,1.8,3,29,28.73
Office Supplies,Envelopes,12.69,3,38,37.61
Office Supplies,Labels,3.22,3,10,9.91
Office Supplies,Labels,4.91,3,15,15.12
Office Supplies,Paper,88.07,3,252,251.64
Office Supplies,Paper,88.07,3,252,251.64
Office Supplies,Paper,5.44,3,16,15.55
